,fandom,count,type,href
98,Big Time Rush,14500,tv,/tv/Big-Time-Rush/
99,Web Shows,14300,misc,/misc/Web-Shows/
100,Rise of the Guardians,14300,movie,/movie/Rise-of-the-Guardians/
101,Star Trek: 2009,14300,movie,/movie/Star-Trek-2009/
102,One Tree Hill,14000,tv,/tv/One-Tree-Hill/
103,Charmed,13900,tv,/tv/Charmed/
104,X-Men,13600,comic,/comic/X-Men/
105,Detective Conan/Case Closed,13400,anime,/anime/Detective-Conan-Case-Closed/
106,Super Smash Brothers,13200,game,/game/Super-Smash-Brothers/
107,Resident Evil,13100,game,/game/Resident-Evil/
108,iCarly,13000,tv,/tv/iCarly/
109,Hobbit,12900,book,/book/Hobbit/
110,Phantom of the Opera,12800,book,/book/Phantom-of-the-Opera/
111,Final Fantasy VIII,12800,game,/game/Final-Fantasy-VIII/
112,Chronicles of Narnia,12700,book,/book/Chronicles-of-Narnia/
113,Gakuen Alice,12700,anime,/anime/Gakuen-Alice/
114,Thor,12600,movie,/movie/Thor/
115,Vampire Knight,12300,anime,/anime/Vampire-Knight/
116,Frozen,12300,movie,/movie/Frozen/
117,Misc. Tv Shows,12100,misc,/misc/Misc-Tv-Shows/
118,Elder Scroll series,12100,game,/game/Elder-Scroll-series/
119,X-Files,12000,tv,/tv/X-Files/
120,Hannah Montana,11200,tv,/tv/Hannah-Montana/
121,Mario,11200,game,/game/Mario/
122,Invader Zim,11100,cartoon,/cartoon/Invader-Zim/
123,Gravity Falls,11000,cartoon,/cartoon/Gravity-Falls/
124,Pretty Little Liars,10900,tv,/tv/Pretty-Little-Liars/
125,Shugo Chara!,10700,anime,/anime/Shugo-Chara/
126,CSI: New York,10500,tv,/tv/CSI-New-York/
127,StarTrek: Voyager,10400,tv,/tv/StarTrek-Voyager/
128,Kim Possible,10400,cartoon,/cartoon/Kim-Possible/
129,Gossip Girl,10300,book,/book/Gossip-Girl/
130,Haikyu/ハイキュー,10300,anime,/anime/Haikyu-%E3%83%8F%E3%82%A4%E3%82%AD%E3%83%A5%E3%83%BC/
131,Shaman King,10200,anime,/anime/Shaman-King/
132,100,10100,tv,/tv/100/
133,Labyrinth,10000,movie,/movie/Labyrinth/
134,Anime X-overs,9900,misc,/misc/Anime-X-overs/
135,Misc. Movies,9900,misc,/misc/Misc-Movies/
136,Game of Thrones,9900,tv,/tv/Game-of-Thrones/
137,Undertale,9800,game,/game/Undertale/
138,Outsiders,9700,book,/book/Outsiders/
139,Lost,9700,tv,/tv/Lost/
140,A song of Ice and Fire,9600,book,/book/A-song-of-Ice-and-Fire/
141,Arrow,9500,tv,/tv/Arrow/
142,Adventure Time with Finn and Jake,9400,cartoon,/cartoon/Adventure-Time-with-Finn-and-Jake/
143,Angel,9400,tv,/tv/Angel/
144,Harvest Moon,9300,game,/game/Harvest-Moon/
145,Mentalist,9100,tv,/tv/Mentalist/
146,Misc. Anime/Manga,9100,misc,/misc/Misc-Anime-Manga/
147,Halo,9100,game,/game/Halo/
148,Evangelion,9000,anime,/anime/Evangelion/
149,Steven Universe,8900,cartoon,/cartoon/Steven-Universe/
150,Persona Series,8900,game,/game/Persona-Series/
151,Downton Abbey,8800,tv,/tv/Downton-Abbey/
152,General Hospital,8600,tv,/tv/General-Hospital/
153,Vampire Academy,8600,book,/book/Vampire-Academy/
154,Powerpuff Girls,8600,cartoon,/cartoon/Powerpuff-Girls/
155,Hawaii Five-0,8500,tv,/tv/Hawaii-Five-0/
156,Divergent Trilogy,8400,book,/book/Divergent-Trilogy/
157,Phoenix Wright: Ace Attorney,8400,game,/game/Phoenix-Wright-Ace-Attorney/
158,Austin & Ally,8400,tv,/tv/Austin-Ally/
159,Code Geass,8400,anime,/anime/Code-Geass/
160,Durarara!!/デュラララ!!,8400,anime,/anime/Durarara-%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9/
161,Agents of S.H.I.E.L.D.,8200,tv,/tv/Agents-of-S-H-I-E-L-D/
162,Rizzoli & Isles,8200,tv,/tv/Rizzoli-Isles/
163,Fallout,8200,game,/game/Fallout/
164,Assassin\'s Creed,8000,game,/game/Assassin-s-Creed/
165,Spider-Man,8000,comic,/comic/Spider-Man/
166,Song of the Lioness,8000,book,/book/Song-of-the-Lioness/
167,Five Nights at Freddy´s,7900,game,/game/Five-Nights-at-Freddy-s/
168,Hellsing,7900,anime,/anime/Hellsing/
169,Yu-Gi-Oh GX,7700,anime,/anime/Yu-Gi-Oh-GX/
170,Gundam Seed,7700,anime,/anime/Gundam-Seed/
171,Captain America,7600,movie,/movie/Captain-America/
172,Transformers,7600,movie,/movie/Transformers/
173,Gravitation,7500,anime,/anime/Gravitation/
174,Warcraft,7500,game,/game/Warcraft/
175,Pitch Perfect,7500,movie,/movie/Pitch-Perfect/
176,Ben 10,7400,cartoon,/cartoon/Ben-10/
177,Loud House,7400,cartoon,/cartoon/Loud-House/
178,Code Lyoko,7400,cartoon,/cartoon/Code-Lyoko/
179,Flash,7300,tv,/tv/Flash/
180,Sonny with a Chance,7300,tv,/tv/Sonny-with-a-Chance/
181,Newsies,7200,movie,/movie/Newsies/
182,Tsubasa Chronicle,7200,anime,/anime/Tsubasa-Chronicle/
183,Free! - Iwatobi Swim Club,7200,anime,/anime/Free-Iwatobi-Swim-Club/
184,StarTrek: The Original Series,7200,tv,/tv/StarTrek-The-Original-Series/
185,Firefly,7100,tv,/tv/Firefly/
186,Saiyuki,7100,anime,/anime/Saiyuki/
187,Justice League,7000,comic,/comic/Justice-League/
188,Misc. Games,7000,misc,/misc/Misc-Games/
189,Minecraft,7000,game,/game/Minecraft/
190,RENT,7000,play,/play/RENT/
191,League of Legends,6900,game,/game/League-of-Legends/
192,Mega Man,6900,game,/game/Mega-Man/
193,Voltron: Legendary Defender,6900,cartoon,/cartoon/Voltron-Legendary-Defender/
194,Hunter X Hunter,6900,anime,/anime/Hunter-X-Hunter/
195,Batman Begins/Dark Knight,6800,movie,/movie/Batman-Begins-Dark-Knight/
