,fandom,count,type,href
1207,Jane Eyre,431,book,/book/Jane-Eyre/
1208,Xenoblade Chronicles,431,game,/game/Xenoblade-Chronicles/
1209,30 Rock,430,tv,/tv/30-Rock/
1210,Final Fantasy XI,430,game,/game/Final-Fantasy-XI/
1211,Chronicles of Vladimir Tod,430,book,/book/Chronicles-of-Vladimir-Tod/
1212,Tiny Toon Adventures,428,cartoon,/cartoon/Tiny-Toon-Adventures/
1213,Book Thief,427,book,/book/Book-Thief/
1214,Baccano!,426,anime,/anime/Baccano/
1215,Rocket Power,426,cartoon,/cartoon/Rocket-Power/
1216,Elena of Avalor,426,cartoon,/cartoon/Elena-of-Avalor/
1217,13 to Life,426,book,/book/13-to-Life/
1218,Wizard of Oz,425,movie,/movie/Wizard-of-Oz/
1219,Who\'s the Boss?,425,tv,/tv/Who-s-the-Boss/
1220,Diana Wynne Jones,423,book,/book/Diana-Wynne-Jones/
1221,Little House on the Prairie,420,tv,/tv/Little-House-on-the-Prairie/
1222,ElfQuest,420,comic,/comic/ElfQuest/
1223,Dr. Horrible\'s Sing-Along Blog,420,play,/play/Dr-Horrible-s-Sing-Along-Blog/
1224,Wolverine & the X-Men,419,cartoon,/cartoon/Wolverine-the-X-Men/
1225,Horatio Hornblower,419,tv,/tv/Horatio-Hornblower/
1226,Final Fantasy: Crystal Chronicles,418,game,/game/Final-Fantasy-Crystal-Chronicles/
1227,Others,418,tv,/tv/Others/
1228,Fangirl,418,book,/book/Fangirl/
1229,Dead Space,418,game,/game/Dead-Space/
1230,Alice in Wonderland,418,movie,/movie/Alice-in-Wonderland/
1231,Secret/Legend of Mana,417,game,/game/Secret-Legend-of-Mana/
1232,Sound! Euphonium/響け！ユーフォニアム,416,anime,/anime/Sound-Euphonium-%E9%9F%BF%E3%81%91-%E3%83%A6%E3%83%BC%E3%83%95%E3%82%A9%E3%83%8B%E3%82%A2%E3%83%A0/
1233,Monkees,415,tv,/tv/Monkees/
1234,Flash,414,comic,/comic/Flash/
1235,13,414,play,/play/13/
1236,Date A Live/デート・ア・ライブ,414,anime,/anime/Date-A-Live-%E3%83%87%E3%83%BC%E3%83%88-%E3%82%A2-%E3%83%A9%E3%82%A4%E3%83%96/
1237,Itazura na Kiss,414,anime,/anime/Itazura-na-Kiss/
1238,Kodomo No Omocha,413,anime,/anime/Kodomo-No-Omocha/
1239,Human Target,412,tv,/tv/Human-Target/
1240,Banjo-Kazooie,411,game,/game/Banjo-Kazooie/
1241,Kick-Ass,411,comic,/comic/Kick-Ass/
1242,Now You See Me,411,movie,/movie/Now-You-See-Me/
1243,Samurai 7,410,anime,/anime/Samurai-7/
1244,Buzz Lightyear of Star Command,410,cartoon,/cartoon/Buzz-Lightyear-of-Star-Command/
1245,Noir,410,anime,/anime/Noir/
1246,Captain Planet,410,cartoon,/cartoon/Captain-Planet/
1247,Pocahontas,409,movie,/movie/Pocahontas/
1248,Daily Life with a Monster Girl/モンスター娘のいる日常,409,anime,/anime/Daily-Life-with-a-Monster-Girl-%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E5%A8%98%E3%81%AE%E3%81%84%E3%82%8B%E6%97%A5%E5%B8%B8/
1249,Mary Poppins,408,movie,/movie/Mary-Poppins/
1250,Kyle XY,408,tv,/tv/Kyle-XY/
1251,Courage:  The Cowardly Dog,408,cartoon,/cartoon/Courage-The-Cowardly-Dog/
1252,Broadchurch,407,tv,/tv/Broadchurch/
1253,Twilight Zone,405,tv,/tv/Twilight-Zone/
1254,Huntik: Secrets & Seekers,405,cartoon,/cartoon/Huntik-Secrets-Seekers/
1255,Jericho,405,tv,/tv/Jericho/
1256,Megami Kouhosei,404,anime,/anime/Megami-Kouhosei/
1257,"Dude, That\'s My Ghost!",403,cartoon,/cartoon/Dude-That-s-My-Ghost/
1258,Demon Diary,401,anime,/anime/Demon-Diary/
1259,Camp Camp,401,cartoon,/cartoon/Camp-Camp/
1260,Yandere Simulator,400,game,/game/Yandere-Simulator/
1261,Ocean\'s 11,400,movie,/movie/Ocean-s-11/
1262,World of Darkness,399,game,/game/World-of-Darkness/
1263,1632 series,399,book,/book/1632-series/
1264,Citrus,399,anime,/anime/Citrus/
1265,Riddle Story of Devil/悪魔のリドル,398,anime,/anime/Riddle-Story-of-Devil-%E6%82%AA%E9%AD%94%E3%81%AE%E3%83%AA%E3%83%89%E3%83%AB/
1266,Norse Mythology,398,misc,/misc/Norse-Mythology/
1267,Parks and Recreation,398,tv,/tv/Parks-and-Recreation/
1268,Club penguin,396,game,/game/Club-penguin/
1269,Mandalorian,396,tv,/tv/Mandalorian/
1270,A.N.T. Farm,396,tv,/tv/A-N-T-Farm/
1271,Ayashi no Ceres,394,anime,/anime/Ayashi-no-Ceres/
1272,Anastasia,391,movie,/movie/Anastasia/
1273,Barbie,390,movie,/movie/Barbie/
1274,Losers,390,comic,/comic/Losers/
1275,Banana Fish,390,anime,/anime/Banana-Fish/
1276,Step Up,390,movie,/movie/Step-Up/
1277,Inglourious Basterds,390,movie,/movie/Inglourious-Basterds/
1278,NCIS: New Orleans,389,tv,/tv/NCIS-New-Orleans/
1279,10th Kingdom,389,tv,/tv/10th-Kingdom/
1280,Devil is a Part-Timer/はたらく魔王さま,389,anime,/anime/Devil-is-a-Part-Timer-%E3%81%AF%E3%81%9F%E3%82%89%E3%81%8F%E9%AD%94%E7%8E%8B%E3%81%95%E3%81%BE/
1281,Yumeiro Pâtissière/夢色パティシエール,388,anime,/anime/Yumeiro-P%C3%A2tissi%C3%A8re-%E5%A4%A2%E8%89%B2%E3%83%91%E3%83%86%E3%82%A3%E3%82%B7%E3%82%A8%E3%83%BC%E3%83%AB/
1282,Pendragon,387,book,/book/Pendragon/
1283,Great Gatsby,387,book,/book/Great-Gatsby/
1284,Grim and Evil,387,cartoon,/cartoon/Grim-and-Evil/
1285,OK K.O.! Let\'s Be Heroes,386,cartoon,/cartoon/OK-K-O-Let-s-Be-Heroes/
1286,Muppet Show,385,tv,/tv/Muppet-Show/
1287,Story of Tracy Beaker,384,tv,/tv/Story-of-Tracy-Beaker/
1288,Miss Peregrine\'s Home for Peculiar Children,384,book,/book/Miss-Peregrine-s-Home-for-Peculiar-Children/
1289,Pushing Daisies,383,tv,/tv/Pushing-Daisies/
1290,"Gate - Jietai Kare no Chi nite, Kaku Tatakeri",383,anime,/anime/Gate-Jietai-Kare-no-Chi-nite-Kaku-Tatakeri/
1291,Longmire,382,tv,/tv/Longmire/
1292,Cheers,382,tv,/tv/Cheers/
1293,Emma,382,book,/book/Emma/
1294,Baten Kaitos,382,game,/game/Baten-Kaitos/
1295,Legal Drug,381,anime,/anime/Legal-Drug/
1296,Pikmin,381,game,/game/Pikmin/
1297,Sam & Cat,380,tv,/tv/Sam-Cat/
1298,DC Elseworlds,378,comic,/comic/DC-Elseworlds/
1299,Mr. Peabody & Sherman,378,cartoon,/cartoon/Mr-Peabody-Sherman/
1300,Bubblegum Crisis,376,anime,/anime/Bubblegum-Crisis/
1301,Big O,375,anime,/anime/Big-O/
1302,Medabots,375,anime,/anime/Medabots/
1303,Lovely Complex,375,anime,/anime/Lovely-Complex/
1304,Xenogears,374,game,/game/Xenogears/
1305,Big Wolf on Campus,374,tv,/tv/Big-Wolf-on-Campus/
1306,Gatchaman,373,anime,/anime/Gatchaman/
1307,Choices,373,game,/game/Choices/
1308,Katawa Shoujo,373,game,/game/Katawa-Shoujo/
1309,Sweep,373,book,/book/Sweep/
1310,Thor,373,comic,/comic/Thor/
1311,Legacies,372,tv,/tv/Legacies/
1312,Raven Cycle,372,book,/book/Raven-Cycle/
1313,Greek,371,tv,/tv/Greek/
1314,Legend of Heroes,371,game,/game/Legend-of-Heroes/
1315,Fusion Fall,370,game,/game/Fusion-Fall/
1316,Popular,368,tv,/tv/Popular/
1317,We Will Rock You,367,play,/play/We-Will-Rock-You/
1318,Grease,366,movie,/movie/Grease/
1319,Avengers: Earth\'s Mightiest Heroes,365,cartoon,/cartoon/Avengers-Earth-s-Mightiest-Heroes/
1320,Toradora!,365,anime,/anime/Toradora/
1321,Every Witch Way,365,tv,/tv/Every-Witch-Way/
1322,Untamed/陈情令,365,tv,/tv/Untamed-%E9%99%88%E6%83%85%E4%BB%A4/
1323,MÄR,364,anime,/anime/M%C3%84R/
1324,Captain America,364,comic,/comic/Captain-America/
1325,Ojamajo Doremi,364,anime,/anime/Ojamajo-Doremi/
1326,Avengers,364,tv,/tv/Avengers/
1327,Pair of Kings,364,tv,/tv/Pair-of-Kings/
1328,Jet Grind Radio,363,game,/game/Jet-Grind-Radio/
1329,Bloody Roar,362,game,/game/Bloody-Roar/
1330,Dollanganger Saga,362,book,/book/Dollanganger-Saga/
1331,Cthulhu Mythos,362,book,/book/Cthulhu-Mythos/
1332,Garrison\'s Gorillas,361,tv,/tv/Garrison-s-Gorillas/
1333,School Rumble,360,anime,/anime/School-Rumble/
1334,Vandread,359,anime,/anime/Vandread/
1335,Summerland,359,tv,/tv/Summerland/
1336,"Misfits, 2009",358,tv,/tv/Misfits-2009/
1337,Hot Wheels: Battle Force 5,358,cartoon,/cartoon/Hot-Wheels-Battle-Force-5/
1338,Battlestar Galactica,358,tv,/tv/Battlestar-Galactica/
1339,My Life as a Teenage Robot,357,cartoon,/cartoon/My-Life-as-a-Teenage-Robot/
1340,Toontown,355,game,/game/Toontown/
1341,Sabrina the Teenage Witch,355,tv,/tv/Sabrina-the-Teenage-Witch/
1342,Ring/Ringu,355,movie,/movie/Ring-Ringu/
1343,Legion of Super Heroes,354,cartoon,/cartoon/Legion-of-Super-Heroes/
1344,Danger Mouse,354,cartoon,/cartoon/Danger-Mouse/
1345,"Sing, 2016",354,movie,/movie/Sing-2016/
1346,Watership Down,354,book,/book/Watership-Down/
1347,Early Edition,354,tv,/tv/Early-Edition/
1348,La Femme Nikita,354,tv,/tv/La-Femme-Nikita/
1349,Skies of Arcadia,353,game,/game/Skies-of-Arcadia/
1350,Wakfu,352,cartoon,/cartoon/Wakfu/
1351,A Bugs Life,352,movie,/movie/A-Bugs-Life/
1352,Servamp/サーヴァンプ,352,anime,/anime/Servamp-%E3%82%B5%E3%83%BC%E3%83%B4%E3%82%A1%E3%83%B3%E3%83%97/
1353,Mad Max,351,movie,/movie/Mad-Max/
1354,Wander over Yonder,351,cartoon,/cartoon/Wander-over-Yonder/
1355,Ghost in the Shell,350,anime,/anime/Ghost-in-the-Shell/
1356,Man From U.N.C.L.E.,350,movie,/movie/Man-From-U-N-C-L-E/
1357,Robin Hood,349,book,/book/Robin-Hood/
1358,Madagascar,348,movie,/movie/Madagascar/
1359,Shadow Hearts,347,game,/game/Shadow-Hearts/
1360,Myst/Riven,347,game,/game/Myst-Riven/
1361,Teenage Mutant Ninja Turtles,345,comic,/comic/Teenage-Mutant-Ninja-Turtles/
1362,Ned\'s Declassified SSG,345,tv,/tv/Ned-s-Declassified-SSG/
1363,Bravely Default,344,game,/game/Bravely-Default/
1364,Gekkan Shōjo Nozaki-kun,342,anime,/anime/Gekkan-Sh%C5%8Djo-Nozaki-kun/
1365,Love Never Dies,342,play,/play/Love-Never-Dies/
1366,Armored Core,340,game,/game/Armored-Core/
1367,Sammy Keyes,339,book,/book/Sammy-Keyes/
1368,Monsters vs. Aliens,339,movie,/movie/Monsters-vs-Aliens/
1369,Justified,339,tv,/tv/Justified/
1370,Earth: Final Conflict,338,tv,/tv/Earth-Final-Conflict/
1371,Kaze no Stigma/風のスティグマ,337,anime,/anime/Kaze-no-Stigma-%E9%A2%A8%E3%81%AE%E3%82%B9%E3%83%86%E3%82%A3%E3%82%B0%E3%83%9E/
1372,Once and Again,336,tv,/tv/Once-and-Again/
1373,Milo Murphy\'s Law,336,cartoon,/cartoon/Milo-Murphy-s-Law/
1374,Nier,336,game,/game/Nier/
1375,Iron Fey Series,335,book,/book/Iron-Fey-Series/
1376,Moana,335,movie,/movie/Moana/
1377,009-1,334,anime,/anime/009-1/
1378,Robert Langdon series,334,book,/book/Robert-Langdon-series/
1379,Rave Master,333,anime,/anime/Rave-Master/
1380,Book of Mormon,333,play,/play/Book-of-Mormon/
1381,Secret Window,332,movie,/movie/Secret-Window/
1382,Crow,332,movie,/movie/Crow/
1383,Senran Kagura/閃乱カグラ,331,game,/game/Senran-Kagura-%E9%96%83%E4%B9%B1%E3%82%AB%E3%82%B0%E3%83%A9/
1384,God of War,331,game,/game/God-of-War/
1385,Sorcerer Hunters,331,anime,/anime/Sorcerer-Hunters/
1386,Black★Rock Shooter,331,anime,/anime/Black-Rock-Shooter/
1387,Hunchback of Notre Dame,330,book,/book/Hunchback-of-Notre-Dame/
1388,Hyouka/氷菓,330,anime,/anime/Hyouka-%E6%B0%B7%E8%8F%93/
1389,13 Ghosts,330,movie,/movie/13-Ghosts/
1390,Darksiders,329,game,/game/Darksiders/
1391,Uglies,329,book,/book/Uglies/
1392,Kamikaze Kaitou Jeanne,329,anime,/anime/Kamikaze-Kaitou-Jeanne/
1393,David Eddings,329,book,/book/David-Eddings/
1394,Master and Commander,329,movie,/movie/Master-and-Commander/
1395,Roblox,329,game,/game/Roblox/
1396,Hell Girl,329,anime,/anime/Hell-Girl/
1397,Your lie in April/四月は君の嘘,329,anime,/anime/Your-lie-in-April-%E5%9B%9B%E6%9C%88%E3%81%AF%E5%90%9B%E3%81%AE%E5%98%98/
1398,Dark Cloud,328,game,/game/Dark-Cloud/
1399,Hellraiser,327,movie,/movie/Hellraiser/
1400,Fuller House,327,tv,/tv/Fuller-House/
1401,4400,327,tv,/tv/4400/
1402,Inspector Gadget,326,cartoon,/cartoon/Inspector-Gadget/
1403,Jem,326,cartoon,/cartoon/Jem/
1404,Max Steel,326,cartoon,/cartoon/Max-Steel/
1405,Astro Boy,326,anime,/anime/Astro-Boy/
1406,Monster Rancher series/モンスターファーム,325,game,/game/Monster-Rancher-series-%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0/
1407,Kimi ni Todoke/君に届け,324,anime,/anime/Kimi-ni-Todoke-%E5%90%9B%E3%81%AB%E5%B1%8A%E3%81%91/
1408,Martin Mystery,323,cartoon,/cartoon/Martin-Mystery/
1409,Zombies,323,movie,/movie/Zombies/
1410,90210,322,tv,/tv/90210/
1411,Thundermans,322,tv,/tv/Thundermans/
1412,Bob\'s Burgers,322,cartoon,/cartoon/Bob-s-Burgers/
1413,Dead Like Me,322,tv,/tv/Dead-Like-Me/
1414,Monster High,321,book,/book/Monster-High/
1415,Streets Of San Francisco,321,tv,/tv/Streets-Of-San-Francisco/
1416,Sleepy Hollow,320,book,/book/Sleepy-Hollow/
1417,GALS!,319,anime,/anime/GALS/
1418,How to Get Away with Murder,319,tv,/tv/How-to-Get-Away-with-Murder/
1419,Smash,319,tv,/tv/Smash/
1420,Malcolm in the Middle,319,tv,/tv/Malcolm-in-the-Middle/
1421,American Dad,319,cartoon,/cartoon/American-Dad/
1422,"Signed, Sealed, Delivered",318,tv,/tv/Signed-Sealed-Delivered/
1423,Frankenstein,317,book,/book/Frankenstein/
1424,Advance Wars,317,game,/game/Advance-Wars/
1425,Bridget Jones\' Diary,316,book,/book/Bridget-Jones-Diary/
1426,Blue Heelers,316,tv,/tv/Blue-Heelers/
1427,Don\'t Starve,316,game,/game/Don-t-Starve/
1428,Moon Child,316,movie,/movie/Moon-Child/
1429,Hercules,315,movie,/movie/Hercules/
1430,Guardians of Ga\'Hoole,315,book,/book/Guardians-of-Ga-Hoole/
1431,Scarlet Pimpernel,315,book,/book/Scarlet-Pimpernel/
1432,Chip and Dale\'s Rescue Rangers,315,cartoon,/cartoon/Chip-and-Dale-s-Rescue-Rangers/
1433,Where on Earth is Carmen Sandiego,315,cartoon,/cartoon/Where-on-Earth-is-Carmen-Sandiego/
1434,Confessions of Georgia Nicolson,314,book,/book/Confessions-of-Georgia-Nicolson/
1435,Deadman Wonderland/デッドマン・ワンダーランド,312,anime,/anime/Deadman-Wonderland-%E3%83%87%E3%83%83%E3%83%89%E3%83%9E%E3%83%B3-%E3%83%AF%E3%83%B3%E3%83%80%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89/
1436,Planet of the Apes,312,movie,/movie/Planet-of-the-Apes/
1437,Zombieland,312,movie,/movie/Zombieland/
1438,Common Law,312,tv,/tv/Common-Law/
1439,Scryed,312,anime,/anime/Scryed/
1440,Kung Fu: The Legend Continues,312,tv,/tv/Kung-Fu-The-Legend-Continues/
1441,Over the Garden Wall,311,cartoon,/cartoon/Over-the-Garden-Wall/
1442,SSX Tricky,311,game,/game/SSX-Tricky/
1443,Get Smart,310,tv,/tv/Get-Smart/
1444,Valkyria Chronicles,309,game,/game/Valkyria-Chronicles/
1445,Donkey Kong Country,309,game,/game/Donkey-Kong-Country/
1446,Ai no Kusabi,307,anime,/anime/Ai-no-Kusabi/
1447,Doc Martin,306,tv,/tv/Doc-Martin/
1448,Witcher,306,tv,/tv/Witcher/
1449,Road to Eldorado,306,movie,/movie/Road-to-Eldorado/
1450,EverQuest,306,game,/game/EverQuest/
1451,Alexandre Dumas,305,book,/book/Alexandre-Dumas/
1452,Grisha Trilogy,304,book,/book/Grisha-Trilogy/
1453,Romeo and Juliet,304,book,/book/Romeo-and-Juliet/
1454,Blood And Chocolate,304,book,/book/Blood-And-Chocolate/
1455,H.I.V.E.,303,book,/book/H-I-V-E/
1456,Battle of the Planets,302,anime,/anime/Battle-of-the-Planets/
1457,Tales of Graces,302,game,/game/Tales-of-Graces/
1458,Trixie Belden,302,book,/book/Trixie-Belden/
1459,Ultimate Marvel,302,comic,/comic/Ultimate-Marvel/
1460,Tactics,301,anime,/anime/Tactics/
1461,Tales of Zestiria,300,game,/game/Tales-of-Zestiria/
1462,Finding Sky,300,book,/book/Finding-Sky/
1463,Spectacular Spider-Man,300,cartoon,/cartoon/Spectacular-Spider-Man/
1464,Fight Club,299,movie,/movie/Fight-Club/
1465,Prince of Persia,299,movie,/movie/Prince-of-Persia/
1466,"Fallen, Lauren Kate",299,book,/book/Fallen-Lauren-Kate/
1467,Brothers & Sisters,299,tv,/tv/Brothers-Sisters/
1468,Kick Buttowski: Suburban Daredevil,298,cartoon,/cartoon/Kick-Buttowski-Suburban-Daredevil/
1469,Angelic Layer,298,anime,/anime/Angelic-Layer/
1470,Prince of Persia,298,game,/game/Prince-of-Persia/
1471,Foyle\'s War,298,tv,/tv/Foyle-s-War/
1472,Thief Lord,298,book,/book/Thief-Lord/
1473,16 Life,297,anime,/anime/16-Life/
1474,101/102 Dalmatians,297,movie,/movie/101-102-Dalmatians/
1475,Edgar Allan Poe,297,book,/book/Edgar-Allan-Poe/
1476,Final Fantasy: Tactics Advance,297,game,/game/Final-Fantasy-Tactics-Advance/
1477,Magic School Bus,297,cartoon,/cartoon/Magic-School-Bus/
1478,Bollywood,297,movie,/movie/Bollywood/
1479,St. Trinian\'s,296,movie,/movie/St-Trinian-s/
1480,Cruel Intentions,296,movie,/movie/Cruel-Intentions/
1481,King Of The Hill,296,cartoon,/cartoon/King-Of-The-Hill/
1482,Circle of Magic,296,book,/book/Circle-of-Magic/
1483,Combat!,296,tv,/tv/Combat/
1484,Standoff,296,tv,/tv/Standoff/
1485,Wentworth,296,tv,/tv/Wentworth/
1486,Profiler,295,tv,/tv/Profiler/
1487,Lego Movie,295,movie,/movie/Lego-Movie/
1488,North and South,295,book,/book/North-and-South/
1489,Bloodborne,295,game,/game/Bloodborne/
1490,Yo-Kai Watch,295,game,/game/Yo-Kai-Watch/
1491,Sisterhood of the Traveling Pants,294,book,/book/Sisterhood-of-the-Traveling-Pants/
1492,Shakugan no Shana,294,anime,/anime/Shakugan-no-Shana/
1493,Tuck Everlasting,294,book,/book/Tuck-Everlasting/
1494,Star Trek Online,294,game,/game/Star-Trek-Online/
1495,Phantom of the Opera,293,play,/play/Phantom-of-the-Opera/
1496,Dogs,293,anime,/anime/Dogs/
1497,Eddsworld,291,cartoon,/cartoon/Eddsworld/
1498,Lab Rats: Elite Force,290,tv,/tv/Lab-Rats-Elite-Force/
1499,"Sorcerer\'s Apprentice, 2010",290,movie,/movie/Sorcerer-s-Apprentice-2010/
1500,Outlast,290,game,/game/Outlast/
1501,Last Tango in Halifax,288,tv,/tv/Last-Tango-in-Halifax/
1502,Harper\'s Island,288,tv,/tv/Harper-s-Island/
1503,Earth 2,288,tv,/tv/Earth-2/
1504,Prodigal Son,288,tv,/tv/Prodigal-Son/
1505,BanG Dream/バンドリ,287,anime,/anime/BanG-Dream-%E3%83%90%E3%83%B3%E3%83%89%E3%83%AA/
1506,Snow White and the Huntsman,287,movie,/movie/Snow-White-and-the-Huntsman/
1507,Dark is Rising Sequence,287,book,/book/Dark-is-Rising-Sequence/
1508,Life,286,tv,/tv/Life/
1509,Green Lantern,286,comic,/comic/Green-Lantern/
1510,Chicago Med,286,tv,/tv/Chicago-Med/
1511,Fate/Grand Order,285,game,/game/Fate-Grand-Order/
1512,Cal Leandros,285,book,/book/Cal-Leandros/
1513,Monster Buster Club,284,cartoon,/cartoon/Monster-Buster-Club/
1514,Velvet Goldmine,284,movie,/movie/Velvet-Goldmine/
1515,American Idiot,283,play,/play/American-Idiot/
1516,Black Sails,283,tv,/tv/Black-Sails/
1517,Kaamelott,283,tv,/tv/Kaamelott/
1518,Snow White and the Seven Dwarfs,283,movie,/movie/Snow-White-and-the-Seven-Dwarfs/
1519,Shiki,282,anime,/anime/Shiki/
1520,Epic,282,movie,/movie/Epic/
1521,Horton Hears a Who,282,movie,/movie/Horton-Hears-a-Who/
1522,Sleeping Beauty,282,movie,/movie/Sleeping-Beauty/
1523,Galaxy Rangers,281,cartoon,/cartoon/Galaxy-Rangers/
1524,Evil Within,281,game,/game/Evil-Within/
1525,Sesame Street,281,cartoon,/cartoon/Sesame-Street/
1526,I Dream of Jeannie,280,tv,/tv/I-Dream-of-Jeannie/
1527,Tru Calling,280,tv,/tv/Tru-Calling/
1528,Scott & Bailey,280,tv,/tv/Scott-Bailey/
1529,Wicked,280,book,/book/Wicked/
1530,Everworld,279,book,/book/Everworld/
1531,Blue Bloods,279,book,/book/Blue-Bloods/
1532,Beastars/ビースターズ,279,anime,/anime/Beastars-%E3%83%93%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA/
1533,Jungle Book,278,movie,/movie/Jungle-Book/
1534,Book of Life,278,movie,/movie/Book-of-Life/
1535,Borgias,278,tv,/tv/Borgias/
1536,SCP Foundation Mythos,278,misc,/misc/SCP-Foundation-Mythos/
1537,World Only God Knows/神のみぞ知るセカイ,277,anime,/anime/World-Only-God-Knows-%E7%A5%9E%E3%81%AE%E3%81%BF%E3%81%9E%E7%9F%A5%E3%82%8B%E3%82%BB%E3%82%AB%E3%82%A4/
1538,Little Vampire,277,movie,/movie/Little-Vampire/
1539,Vampire: The Masquerade,276,game,/game/Vampire-The-Masquerade/
1540,Secret Garden,276,book,/book/Secret-Garden/
1541,Danganronpa,276,game,/game/Danganronpa/
1542,Cute High Earth Defense Club Love/美男高校地球防衛部LOVE,275,anime,/anime/Cute-High-Earth-Defense-Club-Love-%E7%BE%8E%E7%94%B7%E9%AB%98%E6%A0%A1%E5%9C%B0%E7%90%83%E9%98%B2%E8%A1%9B%E9%83%A8LOVE/
1543,American Girl,275,book,/book/American-Girl/
1544,Mercy Thompson series,273,book,/book/Mercy-Thompson-series/
1545,Green Lantern: The Animated Series,273,cartoon,/cartoon/Green-Lantern-The-Animated-Series/
1546,Station 19,273,tv,/tv/Station-19/
1547,Sonic Boom,272,cartoon,/cartoon/Sonic-Boom/
1548,King Kong,272,movie,/movie/King-Kong/
1549,Dead by Daylight,272,game,/game/Dead-by-Daylight/
1550,Six of Crows,271,book,/book/Six-of-Crows/
1551,Steins;Gate/シュタインズ ゲート,271,anime,/anime/Steins-Gate-%E3%82%B7%E3%83%A5%E3%82%BF%E3%82%A4%E3%83%B3%E3%82%BA-%E3%82%B2%E3%83%BC%E3%83%88/
1552,10 Things I Hate About You,271,tv,/tv/10-Things-I-Hate-About-You/
1553,Kenichi the Mightiest Disciple,270,anime,/anime/Kenichi-the-Mightiest-Disciple/
1554,Sukisho,270,anime,/anime/Sukisho/
1555,Twisted,270,tv,/tv/Twisted/
1556,Mob Psycho 100/モブサイコ１００,270,anime,/anime/Mob-Psycho-100-%E3%83%A2%E3%83%96%E3%82%B5%E3%82%A4%E3%82%B3%EF%BC%91%EF%BC%90%EF%BC%90/
1557,Saint Tail,269,anime,/anime/Saint-Tail/
1558,DARLING in the FRANKXX/ダーリン イン ザ フランキス,269,anime,/anime/DARLING-in-the-FRANKXX-%E3%83%80%E3%83%BC%E3%83%AA%E3%83%B3-%E3%82%A4%E3%83%B3-%E3%82%B6-%E3%83%95%E3%83%A9%E3%83%B3%E3%82%AD%E3%82%B9/
1559,Gaia Online,269,game,/game/Gaia-Online/
1560,Gods Eater Burst,268,game,/game/Gods-Eater-Burst/
1561,Johnny the Homicidal Maniac,268,comic,/comic/Johnny-the-Homicidal-Maniac/
1562,Carpathian Series,267,book,/book/Carpathian-Series/
1563,Beka Cooper series,267,book,/book/Beka-Cooper-series/
1564,Fright Night,267,movie,/movie/Fright-Night/
1565,Death in Paradise,267,tv,/tv/Death-in-Paradise/
1566,Final Fantasy: Unlimited,267,anime,/anime/Final-Fantasy-Unlimited/
1567,Terraria,266,game,/game/Terraria/
1568,Heavy Rain,266,game,/game/Heavy-Rain/
1569,School Days,265,anime,/anime/School-Days/
1570,Walking Dead,265,comic,/comic/Walking-Dead/
1571,"Rush, 2008",264,tv,/tv/Rush-2008/
1572,Future Card Buddyfight/フューチャーカード バディファイト,263,anime,/anime/Future-Card-Buddyfight-%E3%83%95%E3%83%A5%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%E3%82%AB%E3%83%BC%E3%83%89-%E3%83%90%E3%83%87%E3%82%A3%E3%83%95%E3%82%A1%E3%82%A4%E3%83%88/
1573,10 Things I Hate About You,263,movie,/movie/10-Things-I-Hate-About-You/
1574,Senki Zesshō Symphogear/戦姫絶唱シンフォギア,263,anime,/anime/Senki-Zessh%C5%8D-Symphogear-%E6%88%A6%E5%A7%AB%E7%B5%B6%E5%94%B1%E3%82%B7%E3%83%B3%E3%83%95%E3%82%A9%E3%82%AE%E3%82%A2/
1575,Bionic Woman,262,tv,/tv/Bionic-Woman/
1576,Final Fantasy Agito XIII,262,game,/game/Final-Fantasy-Agito-XIII/
1577,Matt Houston,261,tv,/tv/Matt-Houston/
1578,Water Rats,261,tv,/tv/Water-Rats/
1579,Magnus Chase and the Gods of Asgard,261,book,/book/Magnus-Chase-and-the-Gods-of-Asgard/
1580,13 1/2,260,book,/book/13-1-2/
1581,Liberty\'s Kids,259,cartoon,/cartoon/Liberty-s-Kids/
1582,Read or Die,259,anime,/anime/Read-or-Die/
1583,Monochrome Factor,259,anime,/anime/Monochrome-Factor/
1584,Men In Black,258,movie,/movie/Men-In-Black/
1585,Army Wives,258,tv,/tv/Army-Wives/
1586,Over the Hedge,258,movie,/movie/Over-the-Hedge/
1587,Titanfall,256,game,/game/Titanfall/
1588,Gladiator,255,movie,/movie/Gladiator/
1589,Tale Spin,255,cartoon,/cartoon/Tale-Spin/
1590,Adventure Quest,255,game,/game/Adventure-Quest/
1591,Brady Bunch,255,tv,/tv/Brady-Bunch/
1592,Dear Evan Hansen,255,play,/play/Dear-Evan-Hansen/
1593,Nodame Cantabile,254,anime,/anime/Nodame-Cantabile/
1594,Perks of Being a Wallflower,254,book,/book/Perks-of-Being-a-Wallflower/
1595,Batman v Superman: Dawn of Justice,253,movie,/movie/Batman-v-Superman-Dawn-of-Justice/
1596,Shadowrun,253,game,/game/Shadowrun/
